"External ID","Name","Attribute Values","Customer Taxes","Internal Reference","Sale Price","Vendor Taxes","Customer Taxes/Amount","Customer Taxes/Display Name","Customer Taxes/ID","Customer Taxes/Tax Name","# Product Variants"
"__export__.product_product_19368_d71ac46a","CN HBS Vegetarian Beef Bbq 30*100g CASE","","l10n_generic_coa.1_sale_tax_template","","47.5","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
"__export__.product_product_18259_509e20d3","CN HBS Vegetarian Beef Chili Pepper 30*100g CASE","","l10n_generic_coa.1_sale_tax_template","","47.0","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
"__export__.product_product_19367_d6afd43a","CN HBS Vegetarian Beef Spicy 30*90g CASE","","l10n_generic_coa.1_sale_tax_template","","45.0","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
"__export__.product_product_19366_dcce352a","CN HBS Vegetarian Steak Fish 30*100g CASE","","l10n_generic_coa.1_sale_tax_template","","47.0","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
"__export__.product_product_5989_74e7dcb8","CN HBS Wheat Snack Bars 10*320g CASE","","l10n_generic_coa.1_sale_tax_template","","40.0","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
"__export__.product_product_5982_765376b0","CN Ham Tan(salted cooked egg) 24*6pcs CASE","","__export__.account_tax_4_2705eab1","","65.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_22117_6b2b67f8","CN Jinzai Fried Anchovy Snack Sauce 40*110g CASE","","l10n_generic_coa.1_sale_tax_template","","0.0","l10n_generic_coa.1_purchase_tax_template","23.0","23%","1","23%","1"
"__export__.product_product_18742_ce9e71cf","CN LaoChangFang Kao Leng Mian Noodle block 22*450g CASE","","__export__.account_tax_4_2705eab1","","48.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_21050_a1880e1a","CN MXY Konjac Cold Noodle Scallion Oil 40*254g CASE","","__export__.account_tax_4_2705eab1","","0.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_19313_88652884","CN NBH Instant Noodle Surprise Box #1 20*220g CASE","","__export__.account_tax_4_2705eab1","","60.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_19314_b1f4159a","CN NBH Instant Noodle Surprise Box #2 20*220g CASE","","__export__.account_tax_4_2705eab1","","60.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_19315_898cb02c","CN NBH Instant Noodle Surprise Box #3 20*220g CASE","","__export__.account_tax_4_2705eab1","","60.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
